Date,Value
2007-08-31,161.09950203
2007-09-30,160.29814957
2007-10-31,158.91140274
2007-11-30,157.12203409
2007-12-31,155.3263343
2008-01-31,154.13739758
2008-02-29,153.90340913
2008-03-31,154.47432997
2008-04-30,155.63871704
2008-05-31,157.06951809
2008-06-30,158.25858872
2008-07-31,158.81684572
2008-08-31,158.56135543
2008-09-30,157.65840392
2008-10-31,156.43005907
2008-11-30,155.05178044
2008-12-31,153.83387286
2009-01-31,153.20732089
2009-02-28,153.25781757
2009-03-31,153.73841223
2009-04-30,154.5395225
2009-05-31,155.45369957
2009-06-30,156.11826828
2009-07-31,156.24406311
2009-08-31,155.86193944
2009-09-30,155.20513597
2009-10-31,154.38146267
2009-11-30,153.54300872
2009-12-31,152.78652371
2010-01-31,152.4181571
2010-02-28,152.72073763
2010-03-31,153.55879755
2010-04-30,154.69569042
2010-05-31,155.74833877
2010-06-30,156.34123433
2010-07-31,156.37014634
2010-08-31,155.94741077
2010-09-30,155.43609432
2010-10-31,155.19012983
2010-11-30,155.18900412
2010-12-31,155.31862965
2011-01-31,155.4999402
2011-02-28,155.68594241
2011-03-31,156.04751149
2011-04-30,156.65045435
2011-05-31,157.27707411
2011-06-30,157.53332135
2011-07-31,157.22058482
2011-08-31,156.58015626
2011-09-30,155.76389348
2011-10-31,154.7774215
2011-11-30,153.81484506
2011-12-31,153.05920996
2012-01-31,152.63779312
2012-02-29,152.75955114
2012-03-31,153.68042912
2012-04-30,155.39470384
2012-05-31,157.40328069
2012-06-30,159.06774295
2012-07-31,159.88509184
2012-08-31,159.78902987
2012-09-30,159.34358194
2012-10-31,158.99418132
2012-11-30,158.71633046
2012-12-31,158.48067201
2013-01-31,158.41535715
2013-02-28,158.76108085
2013-03-31,159.83109294
2013-04-30,161.63302544
2013-05-31,163.58458593
2013-06-30,164.97440333
2013-07-31,165.50136338
2013-08-31,165.35002435
2013-09-30,164.79377154
2013-10-31,164.14861743
2013-11-30,163.66715639
2013-12-31,163.42647747
2014-01-31,163.49347265
2014-02-28,164.13011237
2014-03-31,165.38795691
2014-04-30,166.81465548
2014-05-31,168.13350439
2014-06-30,169.21607867
2014-07-31,169.88914898
2014-08-31,170.00699677
2014-09-30,169.56613426
2014-10-31,168.7692703
2014-11-30,167.89793401
2014-12-31,167.3301324
2015-01-31,167.26807
2015-02-28,167.74832581
2015-03-31,168.85092783
2015-04-30,170.50531123
2015-05-31,172.41030164
2015-06-30,174.07239365
2015-07-31,175.09165266
2015-08-31,175.51428613
2015-09-30,175.47602987
2015-10-31,175.12347279
2015-11-30,174.85051684
2015-12-31,174.69400039
2016-01-31,174.56360601
2016-02-29,174.65315947
2016-03-31,175.1462224
2016-04-30,176.03941555
2016-05-31,177.01562837
2016-06-30,177.48888426
2016-07-31,177.18785739
2016-08-31,176.36696414
2016-09-30,175.46158211
2016-10-31,174.85170825
2016-11-30,174.61485787
2016-12-31,174.60736509
2017-01-31,174.85182536
2017-02-28,175.52269497
2017-03-31,176.55087975
2017-04-30,177.79364504
2017-05-31,178.99986949
2017-06-30,179.91045425
2017-07-31,180.4719115
2017-08-31,180.7677052
2017-09-30,180.8630763
2017-10-31,180.64245175
2017-11-30,180.19109158
2017-12-31,180.140002
